,city,lat,lng
26439,Ranst,51.2,4.55
26441,Middelkerke,51.1847,2.8192
26447,Sint-Gillis-Waas,51.2167,4.1167
26470,Diepenbeek,50.9072,5.4175
26503,Essen,51.4667,4.4667
26595,Wervik,50.7797,3.04
26646,Stabroek,51.3333,4.3667
26758,Lede,50.9667,3.9833
26812,Bredene,51.2336,2.9756
26814,Kalmthout,51.3833,4.4667
26855,Kasterlee,51.25,4.95
26862,Londerzeel,51.0,4.3
26889,Sint-Genesius-Rode,50.745,4.3464
26931,Haaltert,50.9,4.0
27099,Tessenderlo,51.0697,5.0897
27167,Lessines,50.7167,3.8333
27199,Stekene,51.2,4.0333
27237,Destelbergen,51.05,3.8
27323,Beerse,51.3167,4.8667
27417,Walcourt,50.25,4.4167
27478,Duffel,51.1,4.5167
27498,Fontaine-l’Évêque,50.4167,4.3167
27522,Visé,50.7333,5.7
27693,Wemmel,50.9167,4.3
27816,Herzele,50.8833,3.8833
27826,Putte,51.05,4.6333
27924,Puurs,51.0761,4.2803
27983,Herve,50.6333,5.8
28174,Fléron,50.6167,5.6833
28279,Marche-en-Famenne,50.2167,5.3333
28282,Pont-à-Celles,50.5,4.35
28307,Neerpelt,51.2333,5.4333
28374,Soumagne,50.6167,5.75
28481,Péruwelz,50.5167,3.5833
28579,Aubange,49.5667,5.805
28668,Dour,50.3979,3.7807
28727,Kruibeke,51.1667,4.3
28769,Rotselaar,50.9511,4.7108
28878,Sint-Kruis,51.2117,3.25
28989,Riemst,50.8089,5.6019
29097,Diksmuide,51.0333,2.8667
29108,Lille,51.2333,4.8333
29205,Machelen,50.9103,4.4367
29219,Merchtem,50.9667,4.2333
29328,Hannut,50.6667,5.0833
29343,Peer,51.1328,5.4536
29381,Bree,51.1333,5.5833
29412,Ciney,50.3,5.1
29442,Dison,50.6167,5.85
29531,Bissegem,50.8167,3.2167
29535,Éghezée,50.5833,4.9167
29629,Leopoldsburg,51.1169,5.2558
29697,Landen,50.7547,5.0814
29764,Zulte,50.9167,3.4333
29873,Ternat,50.8667,4.1833
30027,Bastogne,50.0042,5.72
30119,Beernem,51.1428,3.3408
30156,Rumst,51.0833,4.4167
30184,Overpelt,51.2167,5.4167
30318,Aartselaar,51.1333,4.3833
